"Statistic Label","Year","Source of Tax Funds","UNIT","VALUE"
"Agriculture fees (D29H)","2020","General Government and Rest of World  (S.13+S.212)","€milllion","0"
"Agriculture fees (D29H)","2020","General Government - Total (S.13)","€milllion","0"
"Agriculture fees (D29H)","2020","General Government - Central Government (S.1311)","€milllion","0"
"Agriculture fees (D29H)","2020","General Government - Local Government (S.1313)","€milllion",""
"Agriculture fees (D29H)","2020","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Agriculture fees (D29H)","2020","Rest of World (S.212)","€milllion",""
"Agriculture fees (D29H)","2021","General Government and Rest of World  (S.13+S.212)","€milllion","0"
"Agriculture fees (D29H)","2021","General Government - Total (S.13)","€milllion","0"
"Agriculture fees (D29H)","2021","General Government - Central Government (S.1311)","€milllion","0"
"Agriculture fees (D29H)","2021","General Government - Local Government (S.1313)","€milllion",""
"Agriculture fees (D29H)","2021","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Agriculture fees (D29H)","2021","Rest of World (S.212)","€milllion",""
"Agriculture fees (D29H)","2022","General Government and Rest of World  (S.13+S.212)","€milllion","0"
"Agriculture fees (D29H)","2022","General Government - Total (S.13)","€milllion","0"
"Agriculture fees (D29H)","2022","General Government - Central Government (S.1311)","€milllion","0"
"Agriculture fees (D29H)","2022","General Government - Local Government (S.1313)","€milllion",""
"Agriculture fees (D29H)","2022","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Agriculture fees (D29H)","2022","Rest of World (S.212)","€milllion",""
"Agriculture fees (D29H)","2023","General Government and Rest of World  (S.13+S.212)","€milllion","0"
"Agriculture fees (D29H)","2023","General Government - Total (S.13)","€milllion","0"
"Agriculture fees (D29H)","2023","General Government - Central Government (S.1311)","€milllion","0"
"Agriculture fees (D29H)","2023","General Government - Local Government (S.1313)","€milllion",""
"Agriculture fees (D29H)","2023","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Agriculture fees (D29H)","2023","Rest of World (S.212)","€milllion",""
"Air Travel Tax (D214H)","1995","General Government and Rest of World  (S.13+S.212)","€milllion","0"
"Air Travel Tax (D214H)","1995","General Government - Total (S.13)","€milllion","0"
"Air Travel Tax (D214H)","1995","General Government - Central Government (S.1311)","€milllion","0"
"Air Travel Tax (D214H)","1995","General Government - Local Government (S.1313)","€milllion",""
"Air Travel Tax (D214H)","1995","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Air Travel Tax (D214H)","1995","Rest of World (S.212)","€milllion",""
"Air Travel Tax (D214H)","1996","General Government and Rest of World  (S.13+S.212)","€milllion","0"
"Air Travel Tax (D214H)","1996","General Government - Total (S.13)","€milllion","0"
"Air Travel Tax (D214H)","1996","General Government - Central Government (S.1311)","€milllion","0"
"Air Travel Tax (D214H)","1996","General Government - Local Government (S.1313)","€milllion",""
"Air Travel Tax (D214H)","1996","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Air Travel Tax (D214H)","1996","Rest of World (S.212)","€milllion",""
"Air Travel Tax (D214H)","1997","General Government and Rest of World  (S.13+S.212)","€milllion","0"
"Air Travel Tax (D214H)","1997","General Government - Total (S.13)","€milllion","0"
"Air Travel Tax (D214H)","1997","General Government - Central Government (S.1311)","€milllion","0"
"Air Travel Tax (D214H)","1997","General Government - Local Government (S.1313)","€milllion",""
"Air Travel Tax (D214H)","1997","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Air Travel Tax (D214H)","1997","Rest of World (S.212)","€milllion",""
"Air Travel Tax (D214H)","1998","General Government and Rest of World  (S.13+S.212)","€milllion","0"
"Air Travel Tax (D214H)","1998","General Government - Total (S.13)","€milllion","0"
"Air Travel Tax (D214H)","1998","General Government - Central Government (S.1311)","€milllion","0"
"Air Travel Tax (D214H)","1998","General Government - Local Government (S.1313)","€milllion",""
"Air Travel Tax (D214H)","1998","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Air Travel Tax (D214H)","1998","Rest of World (S.212)","€milllion",""
"Air Travel Tax (D214H)","1999","General Government and Rest of World  (S.13+S.212)","€milllion","0"
"Air Travel Tax (D214H)","1999","General Government - Total (S.13)","€milllion","0"
"Air Travel Tax (D214H)","1999","General Government - Central Government (S.1311)","€milllion","0"
"Air Travel Tax (D214H)","1999","General Government - Local Government (S.1313)","€milllion",""
"Air Travel Tax (D214H)","1999","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Air Travel Tax (D214H)","1999","Rest of World (S.212)","€milllion",""
"Air Travel Tax (D214H)","2000","General Government and Rest of World  (S.13+S.212)","€milllion","0"
"Air Travel Tax (D214H)","2000","General Government - Total (S.13)","€milllion","0"
"Air Travel Tax (D214H)","2000","General Government - Central Government (S.1311)","€milllion","0"
"Air Travel Tax (D214H)","2000","General Government - Local Government (S.1313)","€milllion",""
"Air Travel Tax (D214H)","2000","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Air Travel Tax (D214H)","2000","Rest of World (S.212)","€milllion",""
"Air Travel Tax (D214H)","2001","General Government and Rest of World  (S.13+S.212)","€milllion","0"
"Air Travel Tax (D214H)","2001","General Government - Total (S.13)","€milllion","0"
"Air Travel Tax (D214H)","2001","General Government - Central Government (S.1311)","€milllion","0"
"Air Travel Tax (D214H)","2001","General Government - Local Government (S.1313)","€milllion",""
"Air Travel Tax (D214H)","2001","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Air Travel Tax (D214H)","2001","Rest of World (S.212)","€milllion",""
"Air Travel Tax (D214H)","2002","General Government and Rest of World  (S.13+S.212)","€milllion","0"
"Air Travel Tax (D214H)","2002","General Government - Total (S.13)","€milllion","0"
"Air Travel Tax (D214H)","2002","General Government - Central Government (S.1311)","€milllion","0"
"Air Travel Tax (D214H)","2002","General Government - Local Government (S.1313)","€milllion",""
"Air Travel Tax (D214H)","2002","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Air Travel Tax (D214H)","2002","Rest of World (S.212)","€milllion",""
"Air Travel Tax (D214H)","2003","General Government and Rest of World  (S.13+S.212)","€milllion","0"
"Air Travel Tax (D214H)","2003","General Government - Total (S.13)","€milllion","0"
"Air Travel Tax (D214H)","2003","General Government - Central Government (S.1311)","€milllion","0"
"Air Travel Tax (D214H)","2003","General Government - Local Government (S.1313)","€milllion",""
"Air Travel Tax (D214H)","2003","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Air Travel Tax (D214H)","2003","Rest of World (S.212)","€milllion",""
"Air Travel Tax (D214H)","2004","General Government and Rest of World  (S.13+S.212)","€milllion","0"
"Air Travel Tax (D214H)","2004","General Government - Total (S.13)","€milllion","0"
"Air Travel Tax (D214H)","2004","General Government - Central Government (S.1311)","€milllion","0"
"Air Travel Tax (D214H)","2004","General Government - Local Government (S.1313)","€milllion",""
"Air Travel Tax (D214H)","2004","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Air Travel Tax (D214H)","2004","Rest of World (S.212)","€milllion",""
"Air Travel Tax (D214H)","2005","General Government and Rest of World  (S.13+S.212)","€milllion","0"
"Air Travel Tax (D214H)","2005","General Government - Total (S.13)","€milllion","0"
"Air Travel Tax (D214H)","2005","General Government - Central Government (S.1311)","€milllion","0"
"Air Travel Tax (D214H)","2005","General Government - Local Government (S.1313)","€milllion",""
"Air Travel Tax (D214H)","2005","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Air Travel Tax (D214H)","2005","Rest of World (S.212)","€milllion",""
"Air Travel Tax (D214H)","2006","General Government and Rest of World  (S.13+S.212)","€milllion","0"
"Air Travel Tax (D214H)","2006","General Government - Total (S.13)","€milllion","0"
"Air Travel Tax (D214H)","2006","General Government - Central Government (S.1311)","€milllion","0"
"Air Travel Tax (D214H)","2006","General Government - Local Government (S.1313)","€milllion",""
"Air Travel Tax (D214H)","2006","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Air Travel Tax (D214H)","2006","Rest of World (S.212)","€milllion",""
"Air Travel Tax (D214H)","2007","General Government and Rest of World  (S.13+S.212)","€milllion","0"
"Air Travel Tax (D214H)","2007","General Government - Total (S.13)","€milllion","0"
"Air Travel Tax (D214H)","2007","General Government - Central Government (S.1311)","€milllion","0"
"Air Travel Tax (D214H)","2007","General Government - Local Government (S.1313)","€milllion",""
"Air Travel Tax (D214H)","2007","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Air Travel Tax (D214H)","2007","Rest of World (S.212)","€milllion",""
"Air Travel Tax (D214H)","2008","General Government and Rest of World  (S.13+S.212)","€milllion","0"
"Air Travel Tax (D214H)","2008","General Government - Total (S.13)","€milllion","0"
"Air Travel Tax (D214H)","2008","General Government - Central Government (S.1311)","€milllion","0"
"Air Travel Tax (D214H)","2008","General Government - Local Government (S.1313)","€milllion",""
"Air Travel Tax (D214H)","2008","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Air Travel Tax (D214H)","2008","Rest of World (S.212)","€milllion",""
"Air Travel Tax (D214H)","2009","General Government and Rest of World  (S.13+S.212)","€milllion","91.91"
"Air Travel Tax (D214H)","2009","General Government - Total (S.13)","€milllion","91.91"
"Air Travel Tax (D214H)","2009","General Government - Central Government (S.1311)","€milllion","91.91"
"Air Travel Tax (D214H)","2009","General Government - Local Government (S.1313)","€milllion",""
"Air Travel Tax (D214H)","2009","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Air Travel Tax (D214H)","2009","Rest of World (S.212)","€milllion",""
"Air Travel Tax (D214H)","2010","General Government and Rest of World  (S.13+S.212)","€milllion","103.39"
"Air Travel Tax (D214H)","2010","General Government - Total (S.13)","€milllion","103.39"
"Air Travel Tax (D214H)","2010","General Government - Central Government (S.1311)","€milllion","103.39"
